评论者,评论内容,评分,评论时间,产品型号,地区
j***X,包装 设计 包装 密封 好 外形 挺 好看 香型 口感 口感 细腻 醇厚 服务 客服 态度 好 物流 速度 物流 超级 给力,5,2024-02-29 18:32:22,六年窖头曲 52度500mL 整箱,安徽
e***8,回购 不错 上档次,5,2024-02-29 18:31:08,六年窖头曲 52度500mL 整箱,四川
j***业,好喝 上头 hellip hellip hellip hellip hellip hellip,5,2024-02-29 18:18:30,六年窖头曲 52度500mL 整箱,河北
阳***中,好喝,5,2024-02-29 18:17:07,六年窖头曲 路路顺 礼盒,云南
w***n,值得 信赖 品牌 质量 保障 价格 亲民 满意,5,2024-02-29 18:14:12,52度 500mL 2瓶 龙行大运礼盒,四川
第***了,不错,5,2024-02-29 18:10:35,六年窖头曲 52度500mL 单瓶,安徽
花***壳,刚买 涨价 吃 酒席 划算 配送 到家 速度 一流 真假 晓得 便宜 没 造假,5,2024-02-29 18:08:45,六年窖头曲 52度500mL 整箱,重庆
m***l,一箱 六瓶 包装袋 太 贴心,5,2024-02-29 18:07:13,六年窖头曲 52度500mL 整箱,北京
奉***亮,收到 货 第一 时间 拆 包装 感觉 质量 好 卖家 描遂 挺 满意 真的 喜欢 超出 期望值 发货 速度 快 包装 仔细 严实 物流 公司 服务态度 好 运送 速度 很快 满意 购物 感谢 卖家,5,2024-02-29 18:02:47,52度 500mL 2瓶 蓝花瓷龙年礼盒,广东
j***v,送给 老丈人 性价比 高,5,2024-02-29 18:01:32,52度 1L 6瓶 蓝花瓷头曲大容量,湖南
花***子,过年 买来 送人 挺不错,5,2024-02-29 17:58:06,六年窖头曲 52度500mL 整箱,广东
j***x,不错 送人 自饮,5,2024-02-29 17:48:51,52度 500mL 2瓶 龙行大运礼盒,广东
花***枝,不辣 嗓子 两杯 第二天 起床 脑袋 疼 独特 立体感 陶醉 展现 浓香型 白酒 独特 魅力 香气 感受 酒液 醇厚 圆润 入口 柔 中段 感受 辣味 伴随 醇厚 窖 香 异杂味 干净 款 六年 窖 头曲 拥有 浓香型 白酒 特有 窖 香 纯净 绵甜 回味 悠长 带 包装盒 手提袋 活动 时 买点 存 慢慢,5,2024-02-29 17:27:20,六年窖头曲 52度500mL 单瓶,浙江
嗨***文,头 曲比 蓝花 瓷 口感 好点 区别 很大,5,2024-02-29 17:18:26,六年窖头曲 52度500mL 整箱,广东
L***r,今年过年 两箱 泸州老窖 六年 头曲 浓香 经典 价格 友好 不算 离谱 千元 名酒 价格 算是 很值 品牌 溢价 带 包装盒 亲戚 串门,5,2024-02-29 17:17:04,六年窖头曲 52度500mL 整箱,未知
t***9,性价比 高 包装 漂亮 口感 不错,5,2024-02-29 17:13:41,52度 1L 6瓶 蓝花瓷头曲大容量,广东
嘻***1,不错 好 朋友 喜欢 这款 口感 不错 购买,5,2024-02-29 17:06:43,六年窖头曲 52度500mL 整箱,四川
昨***萧,包装 设计 好看 喜羊羊 香型 口感 舒舒服服 物流 速度 很快,5,2024-02-29 17:03:46,六年窖头曲 路路顺 礼盒,浙江
昨***萧,包装 设计 好看 香型 口感 舒适 物流 速度 很快 服务 好,5,2024-02-29 17:02:43,六年窖头曲 路路顺 礼盒,浙江
昨***萧,发货 快 物流 很快 性价比 高,5,2024-02-29 17:01:46,六年窖头曲 路路顺 礼盒,浙江
狗***i,好 好 质量 好 实体店 颜色 正 喜欢 好 好 质量 好 实体店 颜色 正 喜欢 物流 超级 超级 快 质量 不错 物有所值,5,2024-02-29 16:56:37,六年窖头曲 52度500mL 整箱,江苏
u***z,东西 收到 包装 算 完整 用后 追评,5,2024-02-29 16:47:19,六年窖头曲 52度500mL 整箱,广东
u***b,好看 好看 好看 好看 好看 好看 好看,5,2024-02-29 16:46:00,六年窖头曲 52度500mL 单瓶,广西
-***了,值得 信赖 品牌 质量 保障 价格 亲民 满意 好 卖家 谢谢 同事 喜欢 下次 再来,5,2024-02-29 16:41:58,六年窖头曲 52度500mL 整箱,河北
-***了,先说 商品质量 产品 总体 不错 包装 严实 商家 服务 点赞 点评 快递 发货 很快 价格 实惠 质量 杠杠 好 购物 下次 还来,5,2024-02-29 16:41:33,六年窖头曲 52度500mL 整箱,河北
s***6,好 礼品袋 送礼,5,2024-02-29 16:41:11,六年窖头曲 52度500mL 整箱,山东
燕***6,年前 购买 过年 走亲戚 送礼 平台 京东 便宜 京东 购物 物流 快 前一天 下单 第二天 送到 送货 上楼,5,2024-02-29 16:38:04,六年窖头曲 52度500mL 整箱,天津
j***q,礼盒 精美 漂亮 过年 好看 没得说,5,2024-02-29 16:31:31,52度 500mL 2瓶 龙行大运礼盒,山东
j***a,好 值得 推荐 回来 购买,5,2024-02-29 16:24:28,六年窖头曲 52度500mL 整箱,江西
j***f,品牌 值得 信赖 放心 喜欢 小伙伴 速来 抢购,5,2024-02-29 16:23:24,六年窖头曲 52度500mL 整箱,河北
j***f,品牌 值得 信赖 放心,5,2024-02-29 16:22:56,六年窖头曲 52度500mL 整箱,河北
k***6,不错 价格 贵 味道 性价比 行 入口 甜 中后 味道 苦和瑟 粗糙 胜 价格便宜 平时 家里,5,2024-02-29 16:19:12,六年窖头曲 52度500mL 单瓶,广东
s***G,挺 好看 颜值 高 不错 值得 推荐 购买,5,2024-02-29 16:15:48,52度 500mL 2瓶 龙行大运礼盒,广东
g***g,香型 口感 口感 好 老人 喜欢,5,2024-02-29 16:09:28,六年窖头曲 52度500mL 整箱,山东
u***c,喝点 不错 口感 好 入口 丝滑 聚餐,5,2024-02-29 16:08:04,六年窖头曲 52度500mL 整箱,湖南
f***0,过年 家里 招待 客人 普通家庭 挺 好 泸州老窖 老 品牌 不错,5,2024-02-29 16:05:04,六年窖头曲 52度500mL 整箱,江苏
u***o,好喝 正品 礼盒 高端 大气 适合 送礼,5,2024-02-29 16:03:36,52度 500mL 2瓶 龙行大运礼盒,山东
j***n,送礼 合适 开 一瓶 说 口感 好,5,2024-02-29 15:54:05,六年窖头曲 52度500mL 整箱,北京
流***晨,年前 老爷子 口粮 酒备 好 正好 京东 活动 价格 更 优惠 家里 备 酒 好喝 便宜 上头 下次 活动 囤点,5,2024-02-29 15:41:48,六年窖头曲 52度500mL 单瓶,江苏
j***2,好 不错 好用 推荐 亲朋好友,5,2024-02-29 15:41:14,52度 500mL 2瓶 龙行大运礼盒,江苏
j***q,包装 设计 包装 精美 设计 简洁 大方 国风 特色 香型 口感 酱香 浓厚 回味 甘甜 服务 周到 送货 负责,5,2024-02-29 15:40:40,六年窖头曲 52度500mL 整箱,北京
布***w,正品 保障 连买 两年 酒 价位 亲民 好 入口,5,2024-02-29 15:30:54,六年窖头曲 52度500mL 整箱,山东
风***子,好 值得 购买 推荐,5,2024-02-29 15:30:20,52度 500mL 2瓶 龙行大运礼盒,吉林
R***H,不错 不错 京东 PLUS 会员 常在 京东 东西 订单 太 不想 产品 写 好评 特地 写下 模板 评论 涨积 好评 重要性 妥妥 每条 评论 赚 积分 下次 抵 现金 评论 字 个京豆 东西 段话 复制粘贴 凑够 字数 N 次 京东 东西 东西 便宜 质量 好 物美价廉 放心 开心 感觉 上瘾 买买 停 东西 品种 叉 特别 全 划算 实惠 包装 好 损坏 支持 服务 超级 好用 好评 下次 收起 购物车 购买,5,2024-02-29 15:26:39,六年窖头曲 52度500mL 单瓶,吉林
F***p,包装 特别 好 快递 特别 快 酒 质量 保证 京东 平台 实力,5,2024-02-29 15:25:52,六年窖头曲 52度500mL 整箱,陕西
K***i,性价比 高 邮寄 速度快 套装 合适,5,2024-02-29 15:22:29,六年窖头曲 路路顺 礼盒,河北
乐***8,包装 精致 适合 送礼,5,2024-02-29 15:11:59,52度 500mL 2瓶 蓝花瓷龙年礼盒,天津
污***哄,泸州老窖 质量 信得过 款 浓香型 度 白酒 入口 浓香 回味 绵长 包装 大气 漂亮 平时 小酌 节日 送 亲朋 特别 好 京东 送货上门 好评,5,2024-02-29 15:10:28,六年窖头曲 52度500mL 单瓶,天津
豆***戴,老家 长辈 父母 收后 嫌 档次 低 没 拿出 酒 老家 长辈 父母 收后 嫌 档次 低 没 拿出 酒,4,2024-02-29 15:09:38,52度 500mL 2瓶 春节礼盒,天津
兴***月,爷爷 说 感觉 醇厚 味道 不错 值得,5,2024-02-29 15:05:44,蓝花瓷头曲 52度500mL 礼盒,辽宁
j***2,京东 自营 商品 送货 快 质量 好 值得 购买,5,2024-02-29 15:01:00,六年窖头曲 52度500mL 整箱,上海
j***k,一款 好 白酒,5,2024-02-29 14:45:56,六年窖头曲 52度500mL 单瓶,浙江
羊***J,长辈 说 不错 第二次 购买,4,2024-02-29 14:25:03,六年窖头曲 52度500mL 整箱,山东
他***哈,不错 挺 好 两次,5,2024-02-29 14:23:56,六年窖头曲 52度500mL 整箱,江苏
j***E,过年 囤 感觉 粮食 酒 一部分 没喝 完 感觉 口粮 酒 主打 经济 实惠 京东 第一 价格 合适 送货到 家 好,5,2024-02-29 14:18:50,六年窖头曲 52度500mL 整箱,天津
没***菜,不错 不错 不错 不错,5,2024-02-29 14:09:06,六年窖头曲 52度500mL 整箱,浙江
r***5,价格 优惠 值得 购买,5,2024-02-29 14:03:38,52度 500mL 2瓶 春节礼盒,辽宁
j***d,满意 送货 下回 购买,5,2024-02-29 13:54:15,六年窖头曲 52度500mL 整箱,安徽
a***1,一瓶 口感 好 上头,5,2024-02-29 13:53:23,六年窖头曲 52度500mL 整箱,河北
仲***胜,产品 很快 全新 正品 包装 仔细 商店 里 网购 方便快捷 品质 放心 还会 光顾,5,2024-02-29 13:51:13,52度 500mL 2瓶 龙行大运礼盒,天津
爱***哥,好酒 价格 适中 买过 好 几次,5,2024-02-29 13:45:48,六年窖头曲 52度500mL 整箱,上海
j***0,东西 质量 快递 速度 力 物流 很快 产品 很快 收到 想象 中 还好 不错 不错 外观设计 漂亮 尺寸 大小 合适 包装 仔细 完整 宝贝 手感 不错 感觉 好 发货 速度快 服务态度 一流 给力 星 好评,5,2024-02-29 13:42:40,六年窖头曲 52度500mL 单瓶,江西
永***天,京东 东西 质量 保证 放心 舒心 客服 好 消费者 权益 保障 京东 东西 耐心 质量 考验 一分钱 一分货 京东 贵 一点 放心 坑 京东 放心 品质,5,2024-02-29 13:39:15,52度 500mL 6瓶 红酝头曲整箱,广东
L***-,味道 不错 礼盒 包装 好看,5,2024-02-29 13:33:10,蓝花瓷头曲 52度500mL 礼盒,天津
晓***旗,分享 心得 分享 心得 分享 心得,5,2024-02-29 13:29:31,六年窖头曲 52度500mL 整箱,上海
t***l,性价比 高 放心 购买 做工 精致 值得 购买,5,2024-02-29 13:28:19,52度 500mL 2瓶 龙行大运礼盒,广东
h***d,酒 好喝 大伯 喜欢,5,2024-02-29 13:24:57,52度 500mL 2瓶 蓝花瓷龙年礼盒,广东
玻***情,东西 不错 买来 结婚 包装 配送 包装 设计 简单 大气 香型 口感 浓香型 白酒 口感 头疼 服务 服务 物流 速度 物流配送 快 时效性 高 没用 完 送,5,2024-02-29 13:22:17,六年窖头曲 52度500mL 整箱,四川
j***5,过年 买来 送礼 价格 合适 包装 太过 太差 合适 酒质 价格 涨 活动 购买 合适,5,2024-02-29 13:21:49,52度 500mL 6瓶 红酝头曲整箱,河北
玻***情,婚宴 用酒 性价比 包装 大气 口感 勾调 差点 打个 九,5,2024-02-29 13:20:03,六年窖头曲 52度500mL 整箱,四川
老***0,过年 买来 送 亲友 红红火火 好看,5,2024-02-29 13:15:30,52度 500mL 2瓶 龙行大运礼盒,天津
咦***瓜,老爸 说 好喝 送 一瓶 亲戚 亲戚 说 没 开盖 闻到 香味,5,2024-02-29 13:04:58,52度 500mL 2瓶 春节礼盒,四川
咦***瓜,老爸 说 好喝,5,2024-02-29 13:04:15,六年窖头曲 路路顺 礼盒,四川
s***9,商品 不错 商品 不错,5,2024-02-29 13:03:41,六年窖头曲 52度500mL 整箱,河北
阿***儿,物流 快 包裹 完好 口感 不错,5,2024-02-29 12:56:45,六年窖头曲 52度500mL 整箱,山东
j***x,包装 设计 包装 精美 大方 红色 喜庆 龙 年 图案 非常适合 过年 送礼 香型 口感 口感 香醇 不辣 服务 到位 物流 速度 快能 预定 时间 送货上门 值得 购买,5,2024-02-29 12:55:44,52度 500mL 2瓶 龙行大运礼盒,天津
s***g,外观 包装 很漂亮 适合 过年 送礼,5,2024-02-29 12:52:55,52度 500mL 2瓶 龙行大运礼盒,上海
大***葱,包装 很大 气 价格比 店里 便宜 正品 喜欢,5,2024-02-29 12:47:12,52度 500mL 2瓶 龙行大运礼盒,浙江
u***g,满意 酒 满意 还会 一如既往 地买,5,2024-02-29 12:42:51,六年窖头曲 52度500mL 整箱,河南
h***0,送货 快 包装 好 口感 听说 不错 值得,5,2024-02-29 12:41:48,六年窖头曲 52度500mL 整箱,广东
j***n,好评 物流 快 服务 好 送货 快 好评,5,2024-02-29 12:32:14,六年窖头曲 路路顺 礼盒,山东
j***8,好 口味 纯正 评价,5,2024-02-29 12:31:47,52度 500mL 2瓶 龙行大运礼盒,山东
j***痴,商品 不错 快递 服务态度 差 点 放 提柜,5,2024-02-29 12:24:17,52度 500mL 2瓶 蓝花瓷龙年礼盒,广东
J***一,第二次 购买 口感 好 价格 算 实惠,5,2024-02-29 12:22:46,六年窖头曲 52度500mL 整箱,上海
d***0,正品 物美价廉 父母 说 好喝,5,2024-02-29 12:21:55,蓝花瓷头曲 52度500mL 礼盒,湖南
楠***-,过年 送 家人 实用,5,2024-02-29 12:20:28,52度 500mL 2瓶 龙行大运礼盒,湖南
王***琦,购买,5,2024-02-29 12:16:16,六年窖头曲 52度500mL 整箱,上海
飘***J,单瓶 贵 整箱 好,4,2024-02-29 12:16:10,六年窖头曲 52度500mL 单瓶,北京
雅***b,正品 泸州老窖 四川 老牌子 品牌 独特 醇香 口感 酒友 喜爱 酒 口感 口感 醇厚 不涩 窖 香 浓郁 好喝 这是 春节 期间 购买 两箱 酒 第一天 第二天 送到 送 亲朋好友 京东 购物 京东 快递 全国 遥遥领先 节假日 不休 快递 员 辛苦,5,2024-02-29 12:12:57,六年窖头曲 52度500mL 整箱,甘肃
L***临,优惠 赶紧 入手 正品 包装 好 破损 质量 没得说 棒,5,2024-02-29 12:09:03,六年窖头曲 52度500mL 单瓶,安徽
大***皖,好喝 酒 度数 不高 很绵柔,5,2024-02-29 12:05:47,52度 500mL 2瓶 龙行大运礼盒,江苏
范***儿,购物 京东 自营 感觉 正品 物流 强大 价格 高,5,2024-02-29 12:02:17,六年窖头曲 52度500mL 整箱,四川
j***米,味道 好 性价比 高 口粮 酒,5,2024-02-29 11:58:46,52度 500mL 6瓶 红酝头曲整箱,四川
l***e,不错,5,2024-02-29 11:56:09,52度 500mL 2瓶 蓝花瓷龙年礼盒,北京
j***S,赞 质量 真的 好 包装 物流 不错 真心 喜欢 入手 后悔,5,2024-02-29 11:55:19,六年窖头曲 52度500mL 单瓶,四川
j***5,不错 真的 挺 好喝 性价比 挺 高,5,2024-02-29 11:53:33,六年窖头曲 52度500mL 整箱,天津
j***y,东西 好 不错 还会,5,2024-02-29 11:53:18,六年窖头曲 52度500mL 整箱,湖北
A***夫,京东 自营 这款 泸州老窖 泡酒 酒 不错 口感 回甘 喝后 上头 百年老 品牌 京东 物流 很快 准时,4,2024-02-29 11:51:36,六年窖头曲 52度500mL 整箱,北京
u***r,正品 适合 送礼 高端 大气,5,2024-02-29 11:49:44,52度 500mL 2瓶 龙行大运礼盒,浙江
u***r,适合 送礼 高端 大气 正品,5,2024-02-29 11:48:53,52度 500mL 2瓶 龙行大运礼盒,浙江
j***L,味道 不错 顺口 杠杠 滴,5,2024-02-29 11:37:14,52度 500mL 2瓶 龙行大运礼盒,福建
u***r,包装 大气 送礼 合适,5,2024-02-29 11:35:10,52度 500mL 2瓶 龙行大运礼盒,浙江
u***p,挺不错 一款 酒 平时,5,2024-02-29 11:33:48,六年窖头曲 52度500mL 整箱,北京
w***4,第二次 购买 物流 很快 明天 下午 两点 满意,5,2024-01-09 11:47:35,六年窖头曲 52度500mL 整箱,安徽
s***7,包装 设计 公司 泸州老窖 酒 品牌 好 价格 不贵 香型 口感 那种 浓香型 晚上 下单 第二天 送达 配送 员 服务 送货 速度快 开 增值 专用发票 物流 速度 速 快 快,5,2023-08-12 14:14:12,六年窖头曲 瑞兔呈祥礼盒,陕西
j***口,商品 收到 咯 特别 喜欢 收到 迫不及待 打开 家人 满意 购物 体验 不错 京东 快递 好 喜欢 京东 快递 酒家 回购 过好 性价比 高 送礼 好 选择,5,2024-02-07 07:48:18,六年窖头曲 52度500mL 整箱,山东
任***瀚,两箱 泸州老窖 中秋节 过节 送礼 价格 挺 合适 两箱 八百多 网上 这款 酒 百元 口碑 挺 好 果断 下单 京东 物流 特别 给力 破损 地方,5,2023-09-21 23:04:55,六年窖头曲 52度500mL 整箱,山东
木***子,泸州老窖 款 性价比 高 好喝 度数 虽高 不辣 嗓子 顺滑 京东 自营 购物 放心 保证 正品 搞 活动 值得 入手 价格 实惠 值得 购买,5,2024-01-11 14:31:18,六年窖头曲 52度500mL 整箱,河北
j***B,购买 活动 期间 价格 稍微 平时 便宜 老爸 口粮 酒 这款 价格 适中 渠道 正规 放心 包装 算是 酒,5,2023-11-15 19:08:02,六年窖头曲 52度500mL 整箱,江苏
z***6,泸州老窖 品牌 值得 信赖 年 窖 口感 好 上头 前前后后 好多 屯着 价格 历次 最低 性价比 超高 满意 购物,5,2023-11-12 12:18:00,六年窖头曲 52度500mL 整箱,江苏
j***t,好喝 一款 酒 泸州老窖 老牌子 放心 这款 酒 高 第二天 头不疼 身体 难受 京东 自营 物流 超快 价格 优惠 放心 购买,5,2023-11-02 20:41:13,六年窖头曲 52度500mL 整箱,陕西
j***9,包装 设计 简洁 大气 典型 中国 风 香型 口感 地道 浓香型 白酒 酒体 口感 独特 风格 服务 商家 服务 热情 物流 速度 京东 物流 敢 说 没人敢 说 第一,5,2023-06-14 13:37:19,六年窖头曲 500ml*6整箱,河北
j***e,泸州老窖 不愧为 四大 名酒 好喝 上头 京东 自营 品质 保障 网购 首选 京东 自营,5,2024-01-08 10:27:20,六年窖头曲 52度500mL 整箱,山东
0***o,泸州老窖 浓香 鼻祖 过年 朋友 亲戚 聚会 肯定 少不了 酒 赶紧 入手 一箱 备着 过年 亲戚朋友 聚会 包装 简单 实用 酒 舒服 入口 满嘴 飘香 不辣口 顺喉 京东 物流 超级 快 服务 周到 下次 还会 购买,5,2023-01-30 12:19:38,六年窖头曲 500ml*6整箱,未知
h***7,包装 设计 高端 大气 上档次 香型 口感 这是 浓香型 经典 物流 速度 物流 速度 快 信赖 京东,5,2023-06-20 10:46:52,六年窖头曲 瑞兔呈祥礼盒,河北
l***8,包装 设计 包装 设计 好 红色 喜庆 颜色 搭配 好 方瓶 好看 香型 口感 浓香型 白酒 五十三 度 粮香 窖 香 不错 入口 后卫 短 总体 协调 干净 邪 杂味 口粮 酒 几十块 钱 服务 服务态度 好好 物流 速度 物流 速度快,5,2023-06-10 16:17:24,六年窖头曲 52度500ml 单瓶,河南
i***6,这是 十分满意 购物 体验 老父亲 礼物 原 计划 父亲节 当天 送到 周折 终于 收到 催发 两天 总体 失望 算是 解决,5,2023-06-19 12:31:27,六年窖头曲 500ml*6整箱,广东
d***o,包装 设计 漂亮 清新 活力 口感 清香 口齿 留香 客服 服务 特别 好 京东 自营 服务 太好了 人性化 物流 很快 明天 比去 超市 经济 实惠,5,2023-11-12 09:52:50,六年窖头曲 52度500mL 单瓶,山东
快***店,买买 补贴 价格 优惠 两箱 泸州老窖 老公 囤酒 老公 说 口粮 酒 说 好喝 上头 酒 五六年 牌子 酒,5,2023-06-16 19:49:45,六年窖头曲 500ml*6整箱,辽宁
P***N,想 犹豫 廉价 感觉 高端 特别 棒 包装 好 质量 棒 宝贝 完全符合 卖家 描述 放心 购买 感谢,5,2023-10-03 16:36:25,六年窖头曲 52度500mL 整箱,湖北
l***8,包装 设计 红色 盒子 好看 简单 简约 包装 严实 香型 口感 浓香型 白酒 窖 香 口粮 酒 服务 服务 好 有问必答 物流 速度 发货 速度 很快 次日 达,5,2023-11-18 10:28:36,六年窖头曲 52度500mL 单瓶,河南
